ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
217	अग्निदेवस्य वीर्यात् कः धातुः उत्पन्नः?	स्वर्णम्		शुक्रः	1	(:Dhatu_pob {'lemma': वीर्य})-[:IS_SYNONYM_OF]->({'lemma': शुक्र}); (:Dhatu_pob {'lemma': वीर्य})-[:IS_CAUSED_BY]->({'lemma': गरघ्नीमांस}); (:Dhatu_pob {'lemma': वीर्य})-[:IS_INCREASED_BY]->({'lemma': रसाला})	पित्तम्	1	(:Dhatu_pob {'lemma': वीर्य})-[:IS_INCREASED_BY]->({'lemma': रसाला}); (:Dhatu_pob {'lemma': वीर्य})-[:IS_INCREASED_BY]->({'lemma': मांसशृङ्गाटक}); (:Dhatu_pob {'lemma': वीर्य})-[:IS_INCREASED_BY]->({'lemma': विशुष्क-वटक})	"पित्तेन

आयुर्वेदानुसारं, अग्निदेवस्य वीर्यात् पित्तधातुः उत्पन्नः भवति पित्तं शरीरस्य मुख्यधातुषु अन्यतमः, यः पाचनक्रियायाः, ऊष्मणः नियन्त्रणस्य च कृते उत्तरदायी भवति"	1	(:Dhaatu {'lemma': धातु})-[:IS_TYPE_OF]->({'lemma': धातु}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': धातु}); (:Dhaatu {'lemma': धातु})-[:IS_TYPE_OF]->({'lemma': धातु}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': धातु}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': अशुद्ध-लोह}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': अशुद्ध-लोह}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': लोह}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': लोह})
218	कृत्रिमस्वर्णस्य उत्पत्तिः कस्मात् द्रव्यात् भवति?	पारदस्य वेधनात्	हिङ्गुलात् / पारदस्य वेधनात् / शिलाजतोः / स्वर्णमाक्षिकात्	पारदस्य वेधनात्	1		पारदस्य वेधनात्	1	(:Substance {'lemma': द्रव्य})<-[:IS_TYPE_OF]-({'lemma': द्रव-द्रव्य}); (:Substance {'lemma': द्रव्य})<-[:IS_EXTRACTED_FROM]-({'lemma': द्रव्य-तैल})	स्वर्णमाक्षिकात्	1	(:Upadhaatu {'lemma': स्वर्णमाक्षिक})-[:IS_UPADHAATU_OF]->({'lemma': सुवर्ण}); (:Upadhaatu {'lemma': स्वर्णमाक्षिक})<-[:IS_PART_OF]-({'lemma': सुवर्ण}); (:Upadhaatu {'lemma': स्वर्णमाक्षिक})-[:IS_UPADHAATU_OF]->({'lemma': स्वर्ण}); (:Upadhaatu {'lemma': स्वर्णमाक्षिक})-[:IS_TYPE_OF]->({'lemma': उपधातु})
221	ताम्रस्य उत्पत्तिः कथं भवति?	कार्तिकेयस्य वीर्येण		खननात्	1		ताम्रस्य उत्पत्तिः भूमितः भवति	1	(:Dhaatu {'lemma': ताम्र})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})-[:IS_PART_OF]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': पित्तल}); (:Dhaatu {'lemma': ताम्र})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': कांस्य})	"खनिभ्यः

ताम्रं खनिजधातुः अस्ति तस्य उत्पत्तिः प्राकृतिकरूपेण भूमौ स्थितेभ्यः खनिभ्यः भवति खननेन च तत् प्राप्यते"	1	(:Dhaatu {'lemma': ताम्र})-[:IS_TYPE_OF]->({'lemma': धातु}); (:Dhaatu {'lemma': ताम्र})-[:IS_PART_OF]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': पित्तल})
222	ताम्रस्य अनुत्कृष्टभस्मनः कति दोषाः भवन्ति?	८		त्रयः	1		ताम्रस्य अनुत्कृष्टभस्मनः अनेके दोषाः भवन्ति	1	(:Dhaatu {'lemma': ताम्र})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})-[:IS_PART_OF]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': पित्तल}); (:Dhaatu {'lemma': ताम्र})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': कांस्य})	अष्टौ दोषाः	1	(:Dhaatu {'lemma': ताम्र})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})-[:IS_PART_OF]->({'lemma': तुत्थ}); (:Dhaatu {'lemma': ताम्र})-[:IS_TYPE_OF]->({'lemma': धातु}); (:Dhaatu {'lemma': ताम्र})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': पित्तल})
223	रङ्गस्य कति भेदाः भावप्रकाशे उक्ताः?	२		षट्	1		भावप्रकाशे रङ्गस्य चत्वारः भेदाः उक्ताः	1	(:Dhaatu {'lemma': रङ्ग})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': नाग}); (:Dhaatu {'lemma': रङ्ग})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': नाग}); (:Dhaatu {'lemma': रङ्ग})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': कांस्य}); (:Dhaatu {'lemma': रङ्ग})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': कांस्य}); (:Dhaatu {'lemma': रङ्ग})-[:IS_SYNONYM_OF]->({'lemma': वङ्ग}); (:Dhaatu {'lemma': रङ्ग})-[:IS_SYNONYM_OF]->({'lemma': वङ्ग})	भावप्रकाशे रङ्गस्य भेदाः स्पष्टतया न उल्लिखिताः दत्तनिष्कर्षणेषु रङ्गस्य भेदविषये विशिष्टा सूचना नास्ति तथापि, रङ्गः कांस्यस्य उपधातुः इति, तथा च नागेन सह समानगुणयुक्तः इति ज्ञायते	1	(:Dhaatu {'lemma': रङ्ग})<-[:IS_UPADHAATU_OF]-({'lemma': कांस्य}); (:Dhaatu {'lemma': रङ्ग})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': कांस्य}); (:Dhaatu {'lemma': रङ्ग})<-[:IS_UPADHAATU_OF]-({'lemma': कांस्य}); (:Dhaatu {'lemma': रङ्ग})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': कांस्य}); (:Dhaatu {'lemma': रङ्ग})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': नाग}); (:Dhaatu {'lemma': रङ्ग})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': नाग})
224	रविप्रियः कस्य धातोः पर्यायः अस्ति? 	ताम्रस्य		ताम्रस्य	1	(:Dhaatu {'lemma': रविप्रिय})-[:IS_SYNONYM_OF]->({'lemma': ताम्र})	लौहस्य	1	(:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': लौह}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': लौह}); (:Dhaatu {'lemma': धातु})<-[:IS_CURED_BY]-({'lemma': वली}); (:Dhaatu {'lemma': धातु})<-[:IS_CURED_BY]-({'lemma': वली}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': सीस}); (:Dhaatu {'lemma': धातु})<-[:IS_TYPE_OF]-({'lemma': सीस})	ताम्रस्य	1	(:Dhaatu {'lemma': रविप्रिय})-[:IS_SYNONYM_OF]->({'lemma': ताम्र})
225	केभ्यः देवतेभ्यः का धातुः उत्पद्यते सुमेलितं कुरुत -  i. शिवः 1. सुवर्णम्  ii. कार्तिकेयः 2. रजतम्  iii. वासुकिः 3. ताम्रम्  iv. अग्निदेवः 4. नागः	i-2, ii-3, iii-4, iv-1	i-2, ii-3, iii-4, iv-1 / i-2, ii-3, iii-4, iv-1 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	उत्तरम्: i-3, ii-4, iii-2, iv-1	1		उत्तरम्: i-2, ii-3, iii-4, iv-1	1	(:Substance {'lemma': शिव})-[:IS_SYNONYM_OF]->({'lemma': आमलकी})	"उत्तरम्: i-2, ii-3, iii-4, iv-1

अत्र देवताः धातवश्च एवं सम्बद्धाः:
i. शिवः - 2. रजतम्
ii. कार्तिकेयः - 3. ताम्रम्
iii. वासुकिः - 4. नागः
iv. अग्निदेवः - 1. सुवर्णम्"	1	
226	लौहधातोः कति दोषाः उक्ताः?	७		षट्	1		लौहधातोः त्रयः दोषाः उक्ताः	1		उत्तरम्: अष्टौ	1	
227	लौहसेवनसमये त्याज्यः पदार्थः कः?	सर्वे	कूष्माण्डम् / तिलतैलम् / मद्य / सर्वे	मद्य	1	(:Substance {'lemma': मद्य})-[:IS_NOT_ANUPAANA_OF]->({'lemma': लोह})	मद्य	1		मद्यम्	1	(:Substance {'lemma': मद्य})-[:IS_NOT_ANUPAANA_OF]->({'lemma': लोह})
228	भावप्रकाशे कति उपधातवः उक्ताः सन्ति?	७		उत्तरम्: सप्त	1		भावप्रकाशे सप्त उपधातवः उक्ताः सन्ति	1	(:Upadhaatu {'lemma': उपधातु})-[:HAS_GAUNA_PROPERTY_AS]->({'lemma': धातु}); (:Upadhaatu {'lemma': उपधातु})-[:HAS_SIMILAR_PROPERTY_AS]->({'lemma': धातु}); (:Upadhaatu {'lemma': उपधातु})<-[:IS_TYPE_OF]-({'lemma': शिलाजतु}); (:Upadhaatu {'lemma': उपधातु})<-[:IS_TYPE_OF]-({'lemma': सिन्दूर})	"उत्तरम्: सप्त

भावप्रकाशे सप्त उपधातवः उक्ताः सन्ति आयुर्वेदीय ग्रन्थेषु भावप्रकाशः एकः प्रसिद्धः ग्रन्थः, यत्र शरीरस्य विभिन्नाः अंशाः वर्णिताः सन्ति तत्र उपधातवः अपि वर्णिताः, ये शरीरस्य मुख्यधातूनां उपांशाः भवन्ति"	1	
229	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति?	तुत्थस्य		मयूरस्य	1		तुत्थस्य	1	(:Upadhaatu {'lemma': वितुन्नक})-[:IS_SYNONYM_OF]->({'lemma': तुत्थ}); (:Upadhaatu {'lemma': शिखिग्रीव})-[:IS_SYNONYM_OF]->({'lemma': तुत्थ}); (:Upadhaatu {'lemma': मयूरक})-[:IS_SYNONYM_OF]->({'lemma': तुत्थ})	मयूरस्य	1	(:Pratuda_praani {'lemma': मयूर})<-[:IS_SYNONYM_OF]-({'lemma': कलापिन्}); (:Pratuda_praani {'lemma': मयूर})<-[:IS_SYNONYM_OF]-({'lemma': मेघनादानुलासिन्}); (:Pratuda_praani {'lemma': मयूर})<-[:IS_SYNONYM_OF]-({'lemma': शुक्लापाङ्ग})
233	सिन्दूरः अधोलिखितेषु कस्य उपधातुः अस्ति?	नागस्य	यशदस्य / नागस्य / ताम्रस्य / ताम्रस्य	नागस्य	1		सीसस्य	1	(:Upadhaatu {'lemma': सिन्दूर})-[:IS_UPADHAATU_OF]->({'lemma': सीस}); (:Upadhaatu {'lemma': उपधातु})-[:HAS_GAUNA_PROPERTY_AS]->({'lemma': धातु}); (:Upadhaatu {'lemma': उपधातु})<-[:IS_ABSOLUTE_QUANTITY_OF]-({'lemma': सप्त})	सीसस्य	1	(:Upadhaatu {'lemma': सिन्दूर})-[:IS_UPADHAATU_OF]->({'lemma': सीस})
234	शिलाजितोः कति भेदाः सन्ति?	४		चत्वारः	1		शिलाजितस्य चत्वारः भेदाः सन्ति	1		"उत्तरम्: चत्वारः

शिलाजितोः चत्वारः भेदाः सन्ति सामान्यतया आयुर्वेदे शिलाजितस्य सौवर्ण, रजत, ताम्र, लौह इति चत्वारः प्रकाराः वर्णिताः"	1	
239	कः शिलाजितु सर्वश्रेष्ठा भवति?	लौह		शिलाजितः	1		शिलाजितु सर्वश्रेष्ठा भवति	1		"उत्तरम्: कार्पासशिलाजितु

शिलाजितु मध्ये कार्पासशिलाजितु सर्वश्रेष्ठं मन्यते आयुर्वेदे कार्पासशिलाजितु गुणवत्तया च प्रभावेण च अन्येभ्यः शिलाजितु प्रकारेभ्यः उत्कृष्टं भवति"	1	
241	कस्य वर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति?	रक्तः		पारदस्य	1		शूद्रस्य	1	(:Rasa {'lemma': पारद})<-[:IS_VARIANT_OF]-({'lemma': शूद्र-पारद}); (:Rasa {'lemma': पारद})<-[:IS_VARIANT_OF]-({'lemma': वैश्य-पारद}); (:Rasa {'lemma': पारद})<-[:IS_VARIANT_OF]-({'lemma': क्षत्रिय-पारद})	श्वेतवर्णस्य	1	(:Rasa {'lemma': पारद})<-[:IS_KARMA_OF]-({'lemma': रसायन}); (:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': अम्ल}); (:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': लवण})
244	पारदस्य स्वाभाविकदोषाः कति?	७		त्रयः	1	(:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': अम्ल}); (:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': लवण}); (:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कटु})	पारदस्य स्वाभाविकदोषाः त्रयः	1	(:Rasa {'lemma': पारद})<-[:IS_CURED_BY]-({'lemma': असाध्य-रोग}); (:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर}); (:Rasa {'lemma': पारद})<-[:IS_SYNONYM_OF]-({'lemma': सूत})	"त्रयः

पारदस्य स्वाभाविकदोषाः त्रयः सन्ति - अम्लः, लवणः, कटुश्च"	1	(:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': अम्ल}); (:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': लवण}); (:Rasa {'lemma': पारद})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कटु})
249	अधोलिखितेषु कः हिङ्गुलस्य भेदः न अस्ति?	म्लेच्छः	चर्मारः / म्लेच्छः / शुक्रतुण्डः / हंसपादः	चर्मारः	1	(:Uparasa {'lemma': म्लेच्छ})-[:IS_SYNONYM_OF]->({'lemma': हिङ्गुल}); (:Uparasa {'lemma': हिङ्गुल})<-[:IS_SYNONYM_OF]-({'lemma': म्लेच्छ})	म्लेच्छः	1	(:Uparasa {'lemma': म्लेच्छ})-[:IS_SYNONYM_OF]->({'lemma': हिङ्गुल})	चर्मारः	1	(:Uparasa {'lemma': हिङ्गुल})<-[:IS_SYNONYM_OF]-({'lemma': म्लेच्छ}); (:Uparasa {'lemma': हिङ्गुल})-[:IS_TYPE_OF]->({'lemma': उपरस}); (:Uparasa {'lemma': हिङ्गुल})<-[:IS_SYNONYM_OF]-({'lemma': चूर्णपारद})
251	गन्धकः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	गन्धकपाषाणस्य / बलिनः / बलरसस्य / सर्वेषाम्	गन्धकपाषाणस्य	1		गन्धकपाषाणस्य	1	(:Substance {'lemma': गन्धक})-[:IS_SYNONYM_OF]->({'lemma': तुम्बुरु}); (:Uparasa {'lemma': गन्धक})-[:IS_SYNONYM_OF]->({'lemma': गन्ध}); (:Uparasa {'lemma': गन्धक})<-[:IS_PASSIVISED_BY]-({'lemma': वात})	गन्धकपाषाणस्य	1	(:Substance {'lemma': गन्धक})-[:IS_SYNONYM_OF]->({'lemma': तुम्बुरु}); (:Uparasa {'lemma': गन्धक})-[:IS_SYNONYM_OF]->({'lemma': गन्ध})
253	कः गन्धकः स्वर्णनिर्माणे उपयुज्यते?	रक्तवर्णः		गन्धकः	1	(:Substance {'lemma': गन्धक})-[:IS_SYNONYM_OF]->({'lemma': तुम्बुरु}); (:Uparasa {'lemma': गन्धक})-[:IS_SYNONYM_OF]->({'lemma': गन्ध}); (:Uparasa {'lemma': गन्धक})<-[:IS_OUTPUT_OF_NOT_SANSKAARA_ON]-({'lemma': अशुद्ध-गन्धक})	गन्धकः	1	(:Uparasa {'lemma': गन्धक})<-[:IS_CURED_BY]-({'lemma': क्षय}); (:Uparasa {'lemma': गन्धक})<-[:IS_CURED_BY]-({'lemma': प्लीह}); (:Substance {'lemma': गन्धक})-[:IS_SYNONYM_OF]->({'lemma': तुम्बुरु})	उत्तरम्: गन्धकः	1	
257	अधोलिखितेषु किं तथ्यं  गन्धकसन्दर्भे अयोग्यम् अस्ति?	मधुरविपाकः	कफवातहर / रसायनः / मधुरविपाकः / उष्णवीर्यः	मधुरविपाकः	1	(:Karma {'lemma': रसायन})-[:IS_KARMA_OF]->({'lemma': गन्धक})	उष्णवीर्यः	1	(:Uparasa {'lemma': गन्धक})<-[:IS_KARMA_OF]-({'lemma': रसायन}); (:Karma {'lemma': रसायन})-[:IS_KARMA_OF]->({'lemma': पारद}); (:Karma {'lemma': रसायन})-[:IS_KARMA_OF]->({'lemma': गन्धक})	"मधुरविपाकः

कारणम्: गन्धकस्य विपाकः कटुः भवति, न तु मधुरः अतः मधुरविपाकः इति तथ्यं गन्धकसन्दर्भे अयोग्यम् अस्ति अन्यानि तथ्यानि यथा कफवातहरत्वम्, रसायनत्वम्, उष्णवीर्यत्वं च गन्धकस्य योग्यानि गुणाः सन्ति"	1	(:Karma {'lemma': रसायन})-[:IS_KARMA_OF]->({'lemma': गन्धक}); (:Uparasa {'lemma': गन्धक})<-[:IS_KARMA_OF]-({'lemma': रसायन}); (:Uparasa {'lemma': गन्धक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तुवर})
258	अधोलिखितेषु कः अशुद्धगन्धकस्य दोषो नास्ति?	आमवातः 	ओजनाशकः / कुष्ठः / आमवातः / विषमज्वरः	कुष्ठः	1		कुष्ठः	1	(:Substance {'lemma': कुष्ठ})<-[:IS_SYNONYM_OF]-({'lemma': रोगाह्वय}); (:Substance {'lemma': कुष्ठ})<-[:IS_SYNONYM_OF]-({'lemma': वाप्य}); (:Substance {'lemma': कुष्ठ})<-[:IS_SYNONYM_OF]-({'lemma': पारिभव्य})	विषमज्वरः	1	(:Substance {'lemma': कुष्ठ})<-[:IS_CURED_BY]-({'lemma': कुष्ठ}); (:Nija_roga {'lemma': कुष्ठ})-[:IS_CURED_BY]->({'lemma': कुष्ठ})
259	अभ्रकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	उभयस्य	गगनस्य / वज्रस्य / उभयस्य / न कस्यापि	गगनस्य	1	(:Uparasa {'lemma': गगन})-[:IS_SYNONYM_OF]->({'lemma': अभ्रक}); (:Uparasa {'lemma': अभ्रक})<-[:IS_SYNONYM_OF]-({'lemma': गगन})	उभयस्य	1	(:Uparasa {'lemma': गगन})-[:IS_SYNONYM_OF]->({'lemma': अभ्रक}); (:Uparasa {'lemma': अभ्रक})<-[:IS_SYNONYM_OF]-({'lemma': गगन})	उभयस्य	1	(:Uparasa {'lemma': गगन})-[:IS_SYNONYM_OF]->({'lemma': अभ्रक}); (:Uparasa {'lemma': अभ्रक})<-[:IS_SYNONYM_OF]-({'lemma': गगन}); (:Uparasa {'lemma': अभ्रक})-[:IS_SYNONYM_OF]->({'lemma': अभ्र}); (:Uparasa {'lemma': गगन})-[:IS_SYNONYM_OF]->({'lemma': अभ्र}); (:Uparasa {'lemma': वज्र})-[:IS_SYNONYM_OF]->({'lemma': अभ्र})
260	सुमेलयत  i. श्वेतम् अभ्रकम्       1. रसायनकर्म  ii. रक्तम् अभ्रकम्     2. रजतनिर्माणहेतु  iii. पीतम् अभ्रकम्    3. सुवर्णनिर्माणहेतु  iv. कृष्णम् अभ्रकम्   4. रोगनाशनहेतु	i-2, ii-1, iii-3, iv-4	i-2, ii-1, iii-4, iv-3 / i-2, ii-1, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-2, ii-1, iii-3, iv-4	1		उत्तरम्: i-2, ii-1, iii-4, iv-3	1		"उत्तरम्: i-2, ii-1, iii-3, iv-4

कारणम्:
आयुर्वेदशास्त्रानुसारम् -
- श्वेतम् अभ्रकं रजतनिर्माणहेतु उपयुज्यते
- रक्तम् अभ्रकं रसायनकर्मणि प्रयुज्यते
- पीतम् अभ्रकं सुवर्णनिर्माणहेतु उपयोगि भवति
- कृष्णम् अभ्रकं रोगनाशनहेतु प्रयुज्यते

अतः सम्यक् मेलनम् - i-2, ii-1, iii-3, iv-4 इति"	1	
261	पिनाक-अभ्रकसेवनात् कः रोगः जायते?	महाकुष्ठः	मधुमेहः/ महाकुष्ठः / गांठिकाः / मृत्युः	मृत्युः	1		मधुमेहः	1	(:Roga {'lemma': रोग})-[:IS_CURED_BY]->({'lemma': गव्य-दुग्ध}); (:Roga {'lemma': रोग})-[:IS_CURED_BY]->({'lemma': मृत-वज्र}); (:Roga {'lemma': रोग})-[:IS_CAUSED_BY]->({'lemma': अयुक्ति-युक्त-अन्न-सेवन})	उत्तरम्: महाकुष्ठः	1	
269	स्फटिका अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्वेतायाः / शुभ्रायाः / दृढरङ्गायाः / सर्वेषाम्	शुभ्रायाः	1		सर्वेषाम्	1	(:Varna_property {'lemma': श्वेत})-[:IS_VARNA_PROPERTY_OF]->({'lemma': सौवीर-अञ्जन}); (:Varna_property {'lemma': शुभ्र})-[:IS_VARNA_PROPERTY_OF]->({'lemma': शुभ्रा-शर्करा}); (:Varna_property {'lemma': श्वेत})-[:IS_VARNA_PROPERTY_OF]->({'lemma': ब्राह्मण-पारद})	श्वेतायाः शुभ्रायाः च	1	(:Uparasa {'lemma': श्वेता})-[:IS_SYNONYM_OF]->({'lemma': स्फटिका}); (:Uparasa {'lemma': शुभ्रा})-[:IS_SYNONYM_OF]->({'lemma': स्फटिका}); (:Uparasa {'lemma': स्फटिका})<-[:IS_SYNONYM_OF]-({'lemma': श्वेता}); (:Uparasa {'lemma': स्फटिका})<-[:IS_SYNONYM_OF]-({'lemma': शुभ्रा})
270	राजावर्तः अधोलिखितेषु कस्य पर्यायः नास्ति?	दृढरङ्गायाः	नृपावर्तस्य / दृढरङ्गायाः / रेवट्याः / आवर्तमणिसंज्ञकस्य	दृढरङ्गायाः	1	(:Uparasa {'lemma': नृपावर्त})-[:IS_SYNONYM_OF]->({'lemma': राजावर्त}); (:Uparasa {'lemma': राजावर्त})<-[:IS_SYNONYM_OF]-({'lemma': नृपावर्त}); (:Uparasa {'lemma': राजावर्त})<-[:IS_SYNONYM_OF]-({'lemma': आवर्तमणि})	रेवट्याः	1	(:Uparasa {'lemma': नृपावर्त})-[:IS_SYNONYM_OF]->({'lemma': राजावर्त}); (:Uparasa {'lemma': राजावर्त})<-[:IS_SYNONYM_OF]-({'lemma': नृपावर्त}); (:Uparasa {'lemma': राजावर्त})<-[:IS_SYNONYM_OF]-({'lemma': आवर्तमणि})	दृढरङ्गायाः	1	(:Uparasa {'lemma': नृपावर्त})-[:IS_SYNONYM_OF]->({'lemma': राजावर्त}); (:Uparasa {'lemma': राजावर्त})<-[:IS_SYNONYM_OF]-({'lemma': नृपावर्त}); (:Uparasa {'lemma': राजावर्त})<-[:IS_SYNONYM_OF]-({'lemma': आवर्तमणि})
271	तुत्थकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	खर्परस्य	खर्परस्य / खटिकायाः / वालुकायाः / गैरिकस्य	गैरिकस्य	1		खटिकायाः	1		खटिकायाः	1	(:Uparasa {'lemma': तुत्थक})-[:IS_SYNONYM_OF]->({'lemma': रसक}); (:Uparasa {'lemma': खटिका})<-[:IS_SYNONYM_OF]-({'lemma': लेखनी}); (:Uparasa {'lemma': खटिका})<-[:IS_SYNONYM_OF]-({'lemma': कठिनी})
273	सौराष्ट्री अधोलिखितेषु कस्य पर्यायः?	सर्वेषाम्	मृत्तालकस्य / आढक्याः / मृत्स्नायाः / सर्वेषाम्	आढक्याः	1	(:Uparasa {'lemma': आढकी})-[:IS_SYNONYM_OF]->({'lemma': सौराष्ट्री})	आढक्याः	1	(:Uparasa {'lemma': आढकी})-[:IS_SYNONYM_OF]->({'lemma': सौराष्ट्री})	मृत्स्नायाः	1	(:Uparasa {'lemma': मृत्स्ना})-[:IS_SYNONYM_OF]->({'lemma': सौराष्ट्री}); (:Uparasa {'lemma': मृत्स्ना})-[:IS_SYNONYM_OF]->({'lemma': सौराष्ट्री})
274	क्षेत्रजा अधोलिखितेषु कस्य पर्यायः?	कृष्णमृत्तिकायाः	कर्दमस्य / शङ्खस्य / बोलस्य / कृष्णमृत्तिकायाः	कर्दमस्य	1		कर्दमस्य	1	(:Uparasa {'lemma': कर्दम})-[:IS_SYNONYM_OF]->({'lemma': पङ्क}); (:Uparasa {'lemma': शङ्ख})<-[:IS_SYNONYM_OF]-({'lemma': पावनध्वनि}); (:Uparasa {'lemma': शङ्ख})<-[:IS_SYNONYM_OF]-({'lemma': पावनध्वनि}); (:Uparasa {'lemma': शङ्ख})<-[:IS_SYNONYM_OF]-({'lemma': सुनाद}); (:Uparasa {'lemma': शङ्ख})<-[:IS_SYNONYM_OF]-({'lemma': सुनाद})	कृष्णमृत्तिकायाः	1	(:Uparasa {'lemma': कृष्णमृत्तिका})<-[:IS_SYNONYM_OF]-({'lemma': क्षेत्रजा}); (:Uparasa {'lemma': क्षेत्रजा})-[:IS_SYNONYM_OF]->({'lemma': कृष्णमृत्तिका})
280	कस्य वर्णस्य हीरकः रसायनार्थम् उपयुक्तः भवति?	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य / क्षत्रियवर्णस्य / वैश्यवर्णस्य/ शूद्रवर्णस्य	ब्राह्मणवर्णस्य	1		ब्राह्मणवर्णस्य	1	(:Ratna {'lemma': हीरक})<-[:IS_VARIANT_OF]-({'lemma': विप्र-हीरक}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': मणिवर}); (:Ratna {'lemma': हीरक})<-[:IS_SYNONYM_OF]-({'lemma': चन्द्र})	क्षत्रियवर्णस्य	1	(:Ratna {'lemma': हीरक})<-[:IS_VARIANT_OF]-({'lemma': शूद्र-हीरक}); (:Ratna {'lemma': हीरक})<-[:IS_VARIANT_OF]-({'lemma': वैश्य-हीरक}); (:Ratna {'lemma': हीरक})<-[:IS_VARIANT_OF]-({'lemma': क्षत्रिय-हीरक})
