sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
ye pāpakāriṇaḥ nairṛtāḥ akāryaṃ na jānanti	O O B-RAKSHASA O O O	110	{'B-RAKSHASA': ['nairṛtāḥ']}	{'B-RAKSHASA': ['nairṛtāḥ']}	{}	{'B-DEVA': ['ye'], 'B-HUMAN': ['pāpakāriṇaḥ', 'nairṛtāḥ'], 'B-ASTRA': ['akāryaṃ'], 'B-RAKSHASA': ['na', '
piśitāśanāḥ ete rākṣasāḥ dharmaṃ na vijānanti	O O B-RAKSHASA O O O	111	{'B-RAKSHASA': ['piśitāśanāḥ', 'rākṣasāḥ']}	{'B-RAKSHASA': ['rākṣasāḥ']}	{'B-RAKSHASA': ['rākṣasāḥ']}	{'B-RAKSHASA': ['piśitāśanāḥ', 'rākṣasāḥ']}
rākṣasaḥ dhruvaṃ prātarāśārthe māṃ kalpayiṣyati	B-RAKSHASA O O O O	112	{'B-RAKSHASA': ['rākṣasaḥ']}	{'B-RAKSHASA': ['rākṣasaḥ']}	{}	{'B-RAKSHASA': ['rākṣasaḥ'], 'B-HUMAN': ['māṃ']}
raktāntanayanam priyadarśanam taṃ rāmaṃ vinā apaśyantī suduḥkhitā sā aham kathaṃ kariṣyāmi	O O O B-HUMAN O O O O O O O	113	{'B-HUMAN': ['rāmaṃ']}	{'B-HUMAN': ['rāmaṃ']}	{}	{'B-DEVA': ['rāmaṃ']}
yadi adya kaścit me viṣasya pradātā iha bhaved patinā vinā kṣipraṃ vaivasvataṃ devaṃ paśyeyaṃ	O O O O O O O O O O O O B-DEVA O	114	{'B-DEVA': ['vaivasvataṃ']}	{'B-DEVA': ['vaivasvatam', 'devam']}	{'B-DEVA': ['vaivasvataṃ', 'devaṃ']}	{'B-DEVA': ['vaivasvataṃ', 'devaṃ']}
lakṣmaṇapūrvajaḥ sa rāmaḥ māṃ jīvatīm na ajānāt	B-HUMAN O B-HUMAN O O O O	115	{'B-HUMAN': ['lakṣmaṇapūrvajaḥ', 'rāmaḥ']}	{'B-HUMAN': ['lakṣmaṇapūrvajaḥ', 'rāmaḥ']}	{}	{'B-DEVA': ['lakṣmaṇapūrvajaḥ'], 'B-HUMAN': ['rāmaḥ'], 'B-HUMAN': ['māṃ']}
tau jānantau hi urvyām mama mārgaṇam na kuryātāṃ na	O O O B-GRAHA O O O O O	116		{'B-HUMAN': ['tau']}	{}	{'B-DEVA': ['tau', 'jānantau', 'hi', 'urvyām', 'mama', 'mārgaṇam', 'na', 'kuryātāṃ', 'na']}
nūnaṃ lakṣmaṇa agrajaḥ sa vīro mama śokena eva mahītale dehaṃ tyaktvā ito devalokam yātaḥ	O B-HUMAN B-HUMAN O O O O O O O O O B-SWARGA O	117	{'B-HUMAN': ['lakṣmaṇa', 'agrajaḥ'], 'B-DEVA': ['devalokam']}	{'B-HUMAN': ['lakṣmaṇa', 'agrajaḥ'], 'B-DEVA': ['devalokam']}	{}	{'B-DEVA': ['devalokam']}
devāḥ sagandharvāḥ siddhāḥ ca parama ṛṣayaḥ dhanyā ye mama nāthaṃ rājīvalocanam rāmaṃ paśyanti	B-DEVA B-GANDHARVA O O O O O O O O O B-HUMAN O	118	{'B-DEVA': ['devāḥ'], 'B-GANDHARVA': ['sagandharvāḥ'], 'B-HUMAN': ['ṛṣayaḥ'], 'B-HUMAN': ['nāthaṃ'], 'B-HUMAN': ['rājīvalocanam'], 'B	{'B-DEVA': ['devāḥ'], 'B-GANDHARVA': ['gandharvāḥ'], 'B-HUMAN': ['ṛṣayaḥ', 'rāmaṃ']}	{'B-DEVA': ['devāḥ'], 'B-GANDHARVA': ['sagandharvāḥ'], 'B-RISHI': ['ṛṣayaḥ'], 'B-HUMAN': ['rāmaṃ']}	{'B-DEVA': ['devāḥ'], 'B-GANDHARVA': ['sagandharvāḥ'], 'B-DEVA': ['parama ṛṣayaḥ'], 'B-HUMAN': ['dhanyā ye mama nā
athavā dharmakāmasya dhīmataḥ rājarṣer paramātmanaḥ tasya rāmasya bhāryayā mayā arthe na hi	O O O B-HUMAN B-DEVA O B-HUMAN O O O O O	119	{'B-HUMAN': ['rājarṣer'], 'B-HUMAN': ['rāmasya']}	{'B-HUMAN': ['rājarṣer', 'rāmasya']}	{}	{'B-DEVA': ['rājarṣer'], 'B-HUMAN': ['mayā'], 'B-KINGDOM': ['rāmasya']}
kṛtaghnāḥ nāśayanti tu rāmo na nāśayiṣyati	O O O B-HUMAN O O	120	{'B-HUMAN': ['rāmo']}	{'B-HUMAN': ['rāmo']}	{}	{'B-DEVA': ['rāmo']}
me kecit guṇāḥ na kiṃ vā me bhāgyakṣayo hi kiṃ nu yā aham bhāminī sītā rāmeṇa hīnā varārheṇa	O O O O O O O O O O O O O O B-HUMAN B-HUMAN O O	121	{'B-HUMAN': ['sītā'], 'B-HUMAN': ['rāmeṇa']}	{'B-HUMAN': ['sītā', 'rāmeṇa']}	{}	{'B-DEVA': ['rāmeṇa'], 'B-HUMAN': ['bhāgyakṣayo', 'bhāminī sītā']}
mahātmanā akliṣṭa cāritrāt śūrāt śatru nibarhaṇāt yā rāmād vihīnā me jīvitāt martum śreyo	O O O O O O O B-HUMAN O O O O O	122	{'B-HUMAN': ['rāmād']}	{'B-HUMAN': ['rāmāt']}	{}	{'B-DEVA': ['mahātmanā'], 'B-HUMAN': ['cāritrāt', 'śūrāt', 'martum'], 'B-ASURA': ['śatru'], 'B-RAKSHASA': ['nibarhaṇāt
athavā naraśreṣṭhau tau bhrātarau carantau vane mūla phala aśanau vanagocarau nyasta śastrau hi	O O O O O B-FOREST O B-FRUIT O O O B-ASTRA O	123	{'B-HUMAN': ['naraśreṣṭhau', 'bhrātarau'], 'B-FOREST': ['vane'], 'B-FRUIT': ['phala']}	{'B-HUMAN': ['naraśreṣṭhau'], 'B-FOREST': ['vane'], 'B-FRUIT': ['phala']}	{'B-HUMAN': ['naraśreṣṭhau'], 'B-VANARA': ['bhrātarau'], 'B-FOREST': ['vane'], 'B-FRUIT': ['phala'], 'B-AXE': ['śastrau']}	{'B-DEVA': ['athavā'], 'B-HUMAN': ['naraśreṣṭhau', 'tau', 'bhrātarau', 'carantau', 'vanagocarau'], 'B-TREE': ['vane', 'mūla',
athavā durātmanā rākṣasendreṇa rāvaṇena chadmanā śūrau bhrātarau rāmalakṣmaṇau ghātitau	O O O B-ASURA O O O B-HUMAN O	124	{'B-RAKSHASA': ['rākṣasendreṇa', 'rāvaṇena'], 'B-HUMAN': ['rāmalakṣmaṇau']}	{'B-RAKSHASA': ['rākṣasendreṇa', 'rāvaṇena']}	{'B-RAKSHASA': ['rākṣasendreṇa'], 'B-HUMAN': ['rāmalakṣmaṇau'], 'B-ASURA': ['rāvaṇena']}	{'B-DEVA': ['rāvaṇena'], 'B-RAKSHASA': ['rākṣasendreṇa'], 'B-HUMAN': ['rāmalakṣmaṇau']}
priyāt duḥkham apriyād adhikaṃ bhayam na sambhaved ye tābhyāṃ hi viyujyante teṣām mahātmanām namaḥ	O O O O O O O O O O O O B-HUMAN O	125		{}	{}	{'B-DEVA': ['priyāt'], 'B-HUMAN': ['duḥkham', 'apriyād', 'adhikaṃ', 'bhayam', 'na', 'sambhaved', 'ye', 'tābhyāṃ',
sā aham priyeṇa viditātmanā rāmeṇa tyaktā pāpasya rāvaṇasya vaśam gatā iha prāṇān tyakṣyāmi sītayā iti uktāḥ ghoraṃ rākṣasyaḥ krodhamūrchitāḥ kāścij tat tarasvinaḥ rāvaṇasya ākhyātuṃ jagmuḥ	O O O O B-HUMAN O O B-ASURA O O O O O B-HUMAN O O O B-RAKSHASA O O O O B-ASURA O O	126	{'B-HUMAN': ['rāmeṇa'], 'B-ASURA': ['rāvaṇasya'], 'B-HUMAN': ['sītayā'], 'B-RAKSHASA': ['rākṣasyaḥ'], 'B-ASURA': ['rāvaṇasya	{'B-RAKSHASA': ['rāvaṇasya', 'rākṣasyaḥ', 'rāvaṇasya'], 'B-HUMAN': ['rāmeṇa', 'sītayā']}	{'B-RAKSHASA': ['rākṣasyaḥ'], 'B-ASURA': ['rāvaṇasya'], 'B-HUMAN': ['sītayā'], 'B-RAKSHASA': ['rāvaṇasya']}	{'B-DEVA': ['rāmeṇa'], 'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['sā aham']}
tataḥ ghoradarśanāḥ rākṣasyo sītām upāgamya punaḥ anartha artham ekārtham paruṣam atha abruvan	O O B-RAKSHASA B-HUMAN O O O O O O O O	127	{'B-RAKSHASA': ['rākṣasyo']}	{'B-RAKSHASA': ['rākṣasyo']}	{'B-RAKSHASA': ['rākṣasyo'], 'B-HUMAN': ['sītām']}	{'B-ASURA': ['rākṣasya']}
anārye pāpaviniścaye sīte idānīm rākṣasyo tava hanta etad māṃsam yathāsukham bhakṣayiṣyanti	O O B-HUMAN O B-RAKSHASA O O O O O O	128	"{
    'B-RAKSHASA': ['rākṣasyo']
}"	{'B-RAKSHASA': ['rākṣasyo']}	{'B-RAKSHASA': ['rākṣasyo'], 'B-HUMAN': ['sīte'], 'B-AXE': ['hanta'], 'B-FRUIT': ['māṃsam']}	{'B-ASURA': ['rākṣasyo']}
anāryābhir tābhir saṃtarjitāṃ sītāṃ dṛṣṭvā tadā śayānā vṛddhā rākṣasī trijaṭā vākyam abravīt	B-RAKSHASA O O B-HUMAN O O O O B-RAKSHASA B-RAKSHASA O O	129	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī'], 'B-HUMAN': ['sītāṃ']}	{'B-DEVA': ['anāryābhir'], 'B-RAKSHASA': ['rākṣasī']}
anāryāḥ ātmānaṃ khādata	B-RAKSHASA O O	130	{}	{'B-RAKSHASA': ['anāryāḥ']}	{}	{'B-ASURA': ['anāryāḥ'], 'B-HUMAN': ['ātmānaṃ'], 'B-RAKSHASA': ['khādata']}
janakasya sutām ca daśarathasya iṣṭāṃ snuṣāṃ sītāṃ na bhakṣayiṣyatha	B-HUMAN B-HUMAN O B-HUMAN O B-HUMAN B-HUMAN O O	131	{'B-HUMAN': ['janakasya', 'daśarathasya'], 'B-HUMAN': ['sītāṃ']}	{'B-HUMAN': ['janakasya', 'daśarathasya', 'sītāṃ']}	{}	{'B-DEVA': ['janakasya'], 'B-HUMAN': ['daśarathasya', 'snuṣāṃ', 'sītāṃ']}
adya mayā dāruṇo romaharṣaṇaḥ svapno dṛṣṭo hi rākṣasānām abhāvāya asyā bhartur bhavāya ca	O O O O O O O B-RAKSHASA O O O O O	132	{'B-RAKSHASA': ['rākṣasānām']}	{'B-RAKSHASA': ['rākṣasānām']}	{'B-RAKSHASA': ['rākṣasānām'], 'B-HUMAN': ['asyā', 'bhartur', 'bhavāya']}	{'B-DEVA': ['romaharṣaṇaḥ'], 'B-ASURA': ['rākṣasānām'], 'B-HUMAN': ['asyā bhartur']}
trijaṭayā evam uktāḥ krodhamūrchitāḥ rākṣasyaḥ sarvā eva bhītāḥ tām trijaṭām idaṃ vacaḥ abruvan	B-RAKSHASA O O O B-RAKSHASA O O O O B-RAKSHASA O O O	133	{'B-HUMAN': ['trijaṭayā', 'trijaṭām'], 'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['bhītāḥ']}	{'B-DEVA': ['tri'], 'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['tām']}
trijaṭā tāsāṃ rākṣasīnāṃ mukhodgatam vacanaṃ śrutvā tu kāle svapna saṃśritam vacanaṃ uvāca	B-RAKSHASA O B-RAKSHASA O O O O O O O O O	134	{'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnāṃ'], 'B-HUMAN': ['trijaṭā'], 'B-AXE': ['mukhodgatam'], 'B-MUHURTA': ['kāle']}	{'B-DEVA': ['tri'], 'B-RAKSHASA': ['rākṣasīnāṃ'], 'B-HUMAN': ['tu'], 'B-ASTRA': ['vacanaṃ'], 'B-FOREST': ['śrutvā'], 'B
rāghavaḥ antarikṣagām gajadantamayīṃ sahasreṇa vāji yuktāṃ divyāṃ śibikām svayam āsthāya	B-HUMAN O O O O O O B-RATHA O O	135	{'B-HUMAN': ['rāghavaḥ'], 'B-DEVA': ['antarikṣagām'], 'B-ORNAMENT': ['gajadantamayīṃ'], 'B-PALACE': ['śibikām']}	{'B-RATHA': ['śibikām']}	{}	{'B-DEVA': ['rāghavaḥ'], 'B-RAKSHASA': ['gajadantamayīṃ'], 'B-HUMAN': ['vāji'], 'B-ASTRA': ['śibikām']}
adya svapne mayā sītā śuklāmbarāvṛtā sāgareṇa parikṣiptaṃ śvetaparvatam āsthitā ca bhāskareṇa prabhā yathā sītā rāmeṇa saṃgatā dṛṣṭā	O O O B-HUMAN O B-SEA O B-MOUNTAIN O O O O O B-HUMAN B-HUMAN O O	136	{'B-SEA': ['sāgareṇa'], 'B-MOUNTAIN': ['śvetaparvatam']}	{'B-HUMAN': ['sītā', 'rāmeṇa'], 'B-MOUNTAIN': ['śvetaparvatam']}	{}	{'B-DEVA': ['śuklāmbarāvṛtā'], 'B-HUMAN': ['sītā', 'rāmeṇa'], 'B-SEA': ['sāgareṇa'], 'B-MOUNTAIN': ['śvetapar
rāghavaḥ sahalakṣmaṇaḥ catur dantam śailasaṃkāśaṃ mahāgajam ārūḍhaḥ cacāra ca mayā dṛṣṭaḥ	B-HUMAN B-HUMAN O O B-MOUNTAIN O O O O O O	137	{'B-HUMAN': ['rāghavaḥ', 'lakṣmaṇaḥ'], 'B-AXE': ['dantam'], 'B-MOUNTAIN': ['śailasaṃkāśaṃ'], 'B-ANIMAL': ['mahāgajam']}	{'B-HUMAN': ['rāghavaḥ', 'sahalakṣmaṇaḥ']}	{}	{'B-DEVA': ['rāghavaḥ', 'sahalakṣmaṇaḥ'], 'B-HUMAN': ['catur dantam'], 'B-NAGA': ['śailasaṃkāśaṃ mahāgajam
tatas śuklamālyāmbaradharau naraśārdūlau svatejasā dīpyamānau tau jānakīṃ paryupasthitau	O O O O O O B-HUMAN O	138	{'B-HUMAN': ['naraśārdūlau'], 'B-HUMAN': ['jānakīṃ']}	{'B-HUMAN': ['naraśārdūlau']}	{}	{'B-DEVA': ['śuklamālyāmbaradharau', 'naraśārdūlau']}
tatas jānakī tasya nagasya agre bhartrā parigṛhītasya ākāśasthasya dantinaḥ skandham āśritā	O B-HUMAN O B-MOUNTAIN O O O O O O O	139	{'B-HUMAN': ['jānakī'], 'B-CITY': ['nagasya']}	{'B-NAGA': ['nagasya']}	{}	{'B-DEVA': ['jānakī'], 'B-NAGA': ['nagasya'], 'B-HUMAN': ['bhartrā'], 'B-ASTRA': ['dantinaḥ']}
