ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
212	भावप्रकाशः स्वादानुसारं दाडिमस्य फलानि  कतिविधानि उक्तवान्?	३; षट्		षट्	त्रिविधानि	त्रिविधानि	दश
213	पयःप्रसादी अधस्तनेषु कस्य पर्यायः अस्ति?	कतकस्य	द्राक्षायाः / परूषकस्य / कतकस्य/ शहतूतस्य	कतकस्य	द्राक्षायाः	द्राक्षायाः	कतकस्य
215	पञ्चाम्ले चतुराम्लादतिरिक्तं किं द्रव्यं भवति?	बीजपूरः; बीजपूरम्		लवणम्	आमलकम्	षड्रसः	अम्लानि
216	भावप्रकाशे कति धातवः उक्ताः?	७; सप्त		सप्तधातवः	सप्त	द्वादश	अष्टधातवः
217	अग्निदेवस्य वीर्यात् कः धातुः उत्पन्नः?	स्वर्णम्; सुवर्णम्; स्वर्णः; स्वर्णम्		सोमः	पित्तः	तेजः	लोह
218	कृत्रिमस्वर्णस्य उत्पत्तिः कस्मात् द्रव्यात् भवति?	पारदस्य वेधनात्	हिङ्गुलात् / पारदस्य वेधनात् / शिलाजतोः / स्वर्णमाक्षिकात्	पारदस्य वेधनात्	पारदस्य वेधनात्	पारदस्य वेधनात्	हिङ्गुलात्
221	ताम्रस्य उत्पत्तिः कथं भवति?	कार्तिकेयस्य वीर्येण; कार्त्तिकेयशुक्रात्		खननतो	ताम्रस्य उत्पत्तिः पित्ताधिक्यात् भवति	ताम्रस्य उत्पत्तिः माट्स्यकाण्यां धातु पदार्थानां च सङ्कर्षणात् भवति	ताम्रं प्राकृतिक रूपेण प्राप्यते
222	ताम्रस्य अनुत्कृष्टभस्मनः कति दोषाः भवन्ति?	८; अष्ट; अष्टदोषाः; अष्टौ; अष्टौ दोषाः		षट् दोषाः	द्वौ	एकः	ताम्रपात्रे अनेके दोषाः भवन्ति
223	रङ्गस्य कति भेदाः भावप्रकाशे उक्ताः?	२; द्वौ		चत्वारः	चत्वारः	षट्	षड्
224	रविप्रियः कस्य धातोः पर्यायः अस्ति? 	ताम्रस्य; ताम्रस्य		ताम्र	पित्तस्य	सूर्यस्य	सूर्य
225	केभ्यः देवतेभ्यः का धातुः उत्पद्यते सुमेलितं कुरुत -  i. शिवः 1. सुवर्णम्  ii. कार्तिकेयः 2. रजतम्  iii. वासुकिः 3. ताम्रम्  iv. अग्निदेवः 4. नागः	i-2, ii-3, iii-4, iv-1	i-2, ii-3, iii-4, iv-1 / i-2, ii-3, iii-4, iv-1 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-3, ii-4, iii-2, iv-1	i-1, ii-3, iii-4, iv-2	i-1, ii-3, iii-4, iv-2	i-3, ii-4, iii-2, iv-1
226	लौहधातोः कति दोषाः उक्ताः?	७; सप्त		अष्टौ	त्रिदोषकरः	त्रयः	अष्टदोषाः
227	लौहसेवनसमये त्याज्यः पदार्थः कः?	सर्वे	कूष्माण्डम् / तिलतैलम् / मद्य / सर्वे	सर्वे	सर्वे	मद्य	कूष्माण्डम्
228	भावप्रकाशे कति उपधातवः उक्ताः सन्ति?	७; सप्त		शोडश	षड् उपधातवः	दश	अष्टौ
229	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति?	तुत्थस्य; तुत्थम्; तुत्थस्य		मयूरस्य	कुक्कुटस्य	कौमार्यस्य	अमृतकः, शंखकः, मयूरकः च
233	सिन्दूरः अधोलिखितेषु कस्य उपधातुः अस्ति?	नागस्य	यशदस्य / नागस्य / ताम्रस्य / ताम्रस्य	नागस्य	ताम्रस्य	ताम्रस्य	यशदस्य
234	शिलाजितोः कति भेदाः सन्ति?	४; चत्वारः		षड्	चत्वारः	त्रीणि	शिलाजितोः द्वे भेदाः सन्ति
239	कः शिलाजितु सर्वश्रेष्ठा भवति?	लौह		शिलाजितु:	कश्मीरजं शिलाजितु सर्वश्रेष्ठं भवति	तज़न्यः	अमृताशना
241	कस्य वर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति?	रक्तः; रक्तवर्णस्य		रक्तवर्णस्य	रक्तवर्णस्य	रक्तवर्णस्य	शुक्लवर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति
244	पारदस्य स्वाभाविकदोषाः कति?	७		अष्ट	षट्	सप्त	पञ्च
249	अधोलिखितेषु कः हिङ्गुलस्य भेदः न अस्ति?	म्लेच्छः	चर्मारः / म्लेच्छः / शुक्रतुण्डः / हंसपादः	म्लेच्छः	हंसपादः	हंसपादः	अधोलिखितेषु हिङ्गुलस्य भेदः न अस्ति - म्लेच्छः
251	गन्धकः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	गन्धकपाषाणस्य / बलिनः / बलरसस्य / सर्वेषाम्	गन्धकपाषाणस्य	सर्वेषाम्	गन्धकपाषाणस्य	गन्धकपाषाणस्य
253	कः गन्धकः स्वर्णनिर्माणे उपयुज्यते?	रक्तवर्णः		हाईं	रससिन्दूरः	अभ्रकः	सुवर्णमाक्षिका
257	अधोलिखितेषु किं तथ्यं  गन्धकसन्दर्भे अयोग्यम् अस्ति?	मधुरविपाकः	कफवातहर / रसायनः / मधुरविपाकः / उष्णवीर्यः	मधुरविपाकः	मधुरविपाकः	मधुरविपाकः	कफवातहर
258	अधोलिखितेषु कः अशुद्धगन्धकस्य दोषो नास्ति?	आमवातः 	ओजनाशकः / कुष्ठः / आमवातः / विषमज्वरः	ओजनाशकः	ओजनाशकः	कुष्ठः	ओजनाशकः
259	अभ्रकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	उभयस्य	गगनस्य / वज्रस्य / उभयस्य / न कस्यापि	उभयस्य	उभयस्य	वज्रस्य	अभ्रकम् अधोलिखितेषु कस्य पर्यायः अस्ति? उभयस्य
260	सुमेलयत  i. श्वेतम् अभ्रकम्       1. रसायनकर्म  ii. रक्तम् अभ्रकम्     2. रजतनिर्माणहेतु  iii. पीतम् अभ्रकम्    3. सुवर्णनिर्माणहेतु  iv. कृष्णम् अभ्रकम्   4. रोगनाशनहेतु	i-2, ii-1, iii-3, iv-4	i-2, ii-1, iii-4, iv-3 / i-2, ii-1, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-1, ii-3, iii-4, iv-2	i-2, ii-1, iii-4, iv-3	i-1, ii-3, iii-4, iv-2	i-2, ii-1, iii-3, iv-4
261	पिनाक-अभ्रकसेवनात् कः रोगः जायते?	महाकुष्ठः	मधुमेहः/ महाकुष्ठः / गांठिकाः / मृत्युः	मृत्युः	महाकुष्ठः	मधुमेहः	मधुमेहः
269	स्फटिका अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्वेतायाः / शुभ्रायाः / दृढरङ्गायाः / सर्वेषाम्	शुभ्रायाः	सर्वेषाम्	श्वेतायाः	श्वेतायाः
270	राजावर्तः अधोलिखितेषु कस्य पर्यायः नास्ति?	दृढरङ्गायाः	नृपावर्तस्य / दृढरङ्गायाः / रेवट्याः / आवर्तमणिसंज्ञकस्य	रेवट्याः	दृढरङ्गायाः	नृपावर्तस्य	राजावर्तः नृपावर्तस्य पर्यायः नास्ति
271	तुत्थकम् अधोलिखितेषु कस्य पर्यायः अस्ति?	खर्परस्य	खर्परस्य / खटिकायाः / वालुकायाः / गैरिकस्य	खर्परस्य	खटिकायाः	खटिकायाः	खर्परस्य
273	सौराष्ट्री अधोलिखितेषु कस्य पर्यायः?	सर्वेषाम्	मृत्तालकस्य / आढक्याः / मृत्स्नायाः / सर्वेषाम्	मृत्स्नायाः	सर्वेषाम्	मृत्स्नायाः	मृत्तालकस्य
274	क्षेत्रजा अधोलिखितेषु कस्य पर्यायः?	कृष्णमृत्तिकायाः	कर्दमस्य / शङ्खस्य / बोलस्य / कृष्णमृत्तिकायाः	कर्दमस्य	बोलस्य	कर्दमस्य	क्षारम्
280	कस्य वर्णस्य हीरकः रसायनार्थम् उपयुक्तः भवति?	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य / क्षत्रियवर्णस्य / वैश्यवर्णस्य/ शूद्रवर्णस्य	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य	ब्राह्मणवर्णस्य
287	शालिधान्यस्य उत्पत्तिः कस्मिन् ऋतौ भवति?	हेमन्ते; हेमन्त ऋतौ; हेमन्तः		वसन्तऋतुः	वर्षार्तौ	ग्रहणऋतौ	वर्षे
288	ब्रीहिधान्यानि कस्मिन् ऋतौ उत्पद्यन्ते?	वर्षासु; वर्षऋतौ; वर्षाकाले; वर्षासु		शरद् ऋतु	वर्षासु	ग्रीष्म ऋतौ	वर्षा ऋतौ
295	सूप्यं वैदलं च कस्य पर्यायौ स्तः?	शिम्बीधान्यस्य; शिम्बिजाः; शिम्बिधान्यस्य; शिम्बीभवाः		यूषायाः	सूप्यं वैदलं च कस्य पर्यायौ स्तः? वातस्य	सूप्यं च वैदलं च तु श्वेतपर्ण्यानाम्	अमृतं वैदलं
302	अधस्तनेषु क्षुज्जनिका कस्य पर्यायः अस्ति?	राजिकायाः	सर्षपस्य / राजिकायाः / कंगोः / चणकस्य	राजिकायाः	राजिकायाः	सर्षपस्य	सर्षपस्य
303	भावप्रकाशानुसारं कति वर्षाणां पुरातनानि धान्यानि पुराणानि इति उच्यन्ते?	>२ वर्ष	>१ वर्ष / >२ वर्ष / ५ वर्ष / १० वर्ष	>२ वर्ष	>१ वर्ष	>५ वर्ष	>५ वर्ष
304	शाकस्य कति भेदाः भवन्ति?	६; षट्		सप्त	द्विविधम्	द्वि	शाकस्य पञ्च भेदाः भवन्ति
305	निम्नलिखितान् उत्तरोत्तरं गुरूत्वस्य क्रमेण व्यवस्थापयत। नालं, पत्रं, पुष्पं, फलं, कन्दं, संस्वेदज?	पत्रं, पुष्पं, फलं, नालं, कन्दं, संस्वेदजं	पत्रं, पुष्पं, फलं, सस्वेदजं, कन्दं, नाल / पुष्पं, फलं, सस्वेदजं, नालं, कन्दं, पत्रं / पत्रं, पुष्पं, फलं, नालं, कन्दं, सस्वेदजं / पत्रं, पुष्पं, नालं, फलं, सस्वेदजं, कन्दं	पत्रं, पुष्पं, फलं, नालं, कन्दं, सस्वेदजं	पत्रं, पुष्पं, फलं, नालं, कन्दं, सस्वेदजं	पत्रं, पुष्पं, फलं, कन्दं, नालं, सस्वेदजं	पत्रं, पुष्पं, फलं, सस्वेदजं, कन्दं, नाल
306	किं शाकं दुग्धवर्धकं शुक्रजनकं च भवति?	कलम्बी		शतावरी	शतावरी	सर्पगंधा	अश्वगन्धा
307	अश्मन्तकः कस्य पर्यायः भवति?	चुक्रिकायाः		घृतेशः	अश्मन्तकः अर्जुनस्य पर्यायः भवति	द्राक्षा	अश्वगन्धा
308	अधोलिखितेषु किं शाकं सर्वज्वरहर्ता अस्ति?	गुडूची	पटोलपत्रम् / गुडूची / कासमर्दः / गोजिह्वा	गुडूची	गुडूची	गुडूची	गुडूची
309	भावप्रकाशस्य अनुसारं निन्दनीयं शाकं किम् अस्ति?	सर्षपः; सार्षपम्		परवल्लि:	पलाण्डुः	तुण्डुकम्	अर्का
311	भावप्रकाशे सर्षपस्य वर्णनं कस्मिन् वर्गे कृतम् अस्ति?	शिम्बीधान्याम्	शूकधान्याम् / शिम्बीधान्याम् / शालिधान्याम् / शाकवर्गे	शाकवर्गे	शिम्बीधान्याम्	शाकवर्गे	शाकवर्गे
314	आलुकस्य कति भेदाः सन्ति?	५; पञ्च		सप्त भेदाः	द्वादश	Triḥ	आलुकस्य चतुर्भेदाः सन्ति
315	किं शाकम् अपक्वं शुष्कं च उभयथापि ग्रहीतुं निषेधः न अस्ति?	मूलकः; मूलकम्		हरितकम्	मूलकम्	पुञ्जिका	अर्का
316	शाकस्य संदर्भे का व्याख्या निषिद्धा अस्ति?	सर्वे	व्याधितम् / अऋतुजम् / सशुष्कम् / सर्वे	सर्वे	सर्वे	सर्वे	व्याधितम्
317	मांसं निम्नेषु कस्य पर्यायः न अस्ति?	सर्वेषाम्	क्रव्यस्य / आमिषस्य / पललस्य / सर्वेषाम्	पललस्य	पललस्य	पललस्य	क्रव्यस्य
322	निम्नेषु कस्य मांसं नेत्रगुदविकारेषु नित्यं हितकरं भवति?	गुहाशयस्य	गुहाशयस्य / बिलेशयस्य / पर्णमृगस्य / प्रतुदस्य	बिलेशयस्य	पर्णमृगस्य	गुःआशयस्य	पर्णमृगस्य
323	के पक्षिणः विकीर्य भक्षयन्ति?	विष्किरः	प्रतुदः / विष्किरः / प्रसहः / विलेशयः	विष्किरः	विष्किरः	विलेशयः	विष्किरः
325	अधोलिखितेषु कः प्लवपक्षी अस्ति?	सारसः	सारसः / उलूकः / पारावतः / लावः	सारसः	लावः	सारसः	सारसः
326	केषां पक्षिणां मांसम् अत्युत्तमं स्यात्?	धान्यस्य अङ्कुरान् चरतां पक्षिणां; धान्याङ्कुरचरताम्	जले निवसतां पक्षिणां / धान्यस्य अङ्कुरान् चरतां पक्षिणां / विस्किर- पक्षिणाम् / विलेशय-पक्षिणां	जले निवसतां पक्षिणां	विस्किर- पक्षिणाम्	जले निवसतां पक्षिणां	विलेशय-पक्षिणां
327	विष्किरवर्गस्य पक्षिणां कति भेदाः सन्ति?	४; चतुर्धा; चत्वारः		षट्	विष्किरवर्गस्य पक्षिणां त्रयोदश भेदाः सन्ति	त्रि	अष्टादश
328	अधोलिखितेषु किं वाक्यं मिथ्या अस्ति?	पक्षिषु स्त्रीजातिमांसं श्रेष्ठं वर्तते	पक्षिषु स्त्रीजातिमांसं श्रेष्ठं वर्तते। / चतुष्पदेषु स्त्रीजातिजीवानां मांसं श्रेष्ठं वर्तते। / पुरुषसंज्ञकस्य शरीरस्य अधोभागस्य मांसं लघु भवति। / सर्वं मिथ्या अस्ति।	सर्वं मिथ्या अस्ति	चतुष्पदेषु स्त्रीजातिजीवानां मांसं श्रेष्ठं वर्तते	सर्वं मिथ्या अस्ति	पक्षिषु स्त्रीजातिमांसं श्रेष्ठं वर्तते
330	अधोलिखितेषु जलस्य पर्यायः कः?	सर्वे	अमृतम् / घनरसः / अर्ण / सर्वे	सर्वे	सर्वे	अमृतम्	अर्ण
332	अधोलिखितेषु कः जलस्य भेदः नास्ति?	वारि	धाराजम् / वारि / करकाभवम् / तौषारम्	तौषारम्	वारि	वारि	धाराजम्
334	आकाशे वायुना अग्निना च घनं भूत्वा कीदृशं जलं शिलाखण्डरूपेण पतति?	कारकम्; करकाजम्		श्यामलम्	हिमम्	पातालजलम्	अम्बु
336	भौमं जलं कस्मिन् समये गृह्यमाणम् उत्तमफलदं भवति?	प्रातःकाले; सूर्योदये; प्रातः		प्रातःकाले	प्रातःकाले	गृह्यते या विधिना आषाढमासे	शीतकाले
338	शीतलजलस्य पानं कस्मिन् रोगे निषिद्धम् अस्ति?	गलग्रहे	दाहे / मूर्च्छायाम् / गलग्रहे / तमकश्वासे	तमकश्वासे	तमकश्वासे	मूर्च्छायाम्	दाहे
341	जीवनं जीविनां जीवौ जगत् सर्वन्तु तन्मयम् इत्येतत् कस्मिन् सन्दर्भे लिखितम् अस्ति?	जलसन्दर्भे	रक्तसन्दर्भे / जलसन्दर्भे / प्राणसन्दर्भे / नेत्रसन्दर्भे	प्राणसन्दर्भे	प्राणसन्दर्भे	प्राणसन्दर्भे	प्राणसन्दर्भे
342	पीतस्य साधारणजलस्य पाकः कतिदिनेषु भवति?	१ प्रहरे	प्रहरे / १ प्रहरे / २ प्रहरे / ३ प्रहरे	१ प्रहरे	१ प्रहरे	१ प्रहरः	प्रहरे
344	निम्नेषु कस्य दुग्धं अश्मरीनाशकं भवति?	आविकस्य	आविकस्य / घोटक्याः / औष्ट्रस्य / हस्तिन्याः	आविकस्य	आविकस्य	आविकस्य	औष्ट्रस्य
345	नस्यं आश्च्योतनं च कर्मभ्यां किम् दुग्धं प्रयुज्यते?	स्त्री; भार्या दुग्धम्; भार्यादुग्धम्; भार्यापयः		जिह्वाग्रम्	दुग्धिका	दुग्धं क्लान्ति सिद्ध्यर्थम्	दुग्धं प्रयुज्यते गो-दुग्धं
347	निम्नेषु कस्य दुग्धं धाराशीतं उत्तमं भवति?	माहिषस्य; माहिषम्		गव्यस्य	महिष्याः	गौः	गाय का
348	यद् दुग्धं विनाऽपक्त्वैव विपक्वं जायते तत् किम्?	क्षीरशाकः	पीयूषः / किलाटः / क्षीरशाकः / मोरट्	मोरट्	पीयूषः	पीयूषः	क्षीरशाकः
349	यद् दुग्धं दध्नः संयोजनेन खण्डितम् तथा तस्मात् अंशभूतं घनभागं निष्कास्य यद् द्रववस्तु शिष्टं भवति तत् किम्?	मोरट		मधु	तक्रं	कर्षा	दध्नः
351	रात्रौ दुग्धं कुतः पातव्यम्?	सर्वे सम्यक्	पथ्यम् / दोषशामकम् / नेत्रहितकरम् / सर्वे सम्यक्	दोषशामकम्	सर्वे सम्यक्	नेत्रहितकरम्	दुग्धं पथ्यम्
354	कस्मिन् ऋतौ दध्नः सेवनं निषिद्धम्?	शरदि		ग्रीष्म-ऋतौ	वर्षासु	ग्रीष्मऋतौ	शिशिर ऋतौ
355	दध्नः उपरि स्नेहयुक्तः भागः कः?	सरः	मस्तु / पीयूषः / तक्रम् / सरः	सरः	सरः	पीयूषः	मस्तु
358	कस्मिन् ऋतौ अवस्थायां वा तक्रस्य सेवनं निषिद्धम्?	सर्वे	ग्रीष्मे / दाहे / रक्तपित्ते / सर्वे	सर्वे	सर्वे	सर्वे	ग्रीष्मे
359	चक्षुष्यं नवनीतं किम्?	दुग्धोत्थं नवनीतं; दुग्धोत्थं; दुग्धोत्थम्		आम्	आम्रफलम्	कान्तारामं	तिल
360	पुरातनं घृतं किम् उच्यते?	एकवर्षप्राचीनं; एकवर्षप्राचीनम्	एकवर्षप्राचीनं / द्विवर्षप्राचीनं / दशवर्षप्राचीनं / शतवर्षप्राचीनं	दशवर्षप्राचीनं	दशवर्षप्राचीनं	दशवर्षप्राचीनं	दशवर्षप्राचीनं
366	विशेषेण चक्षुष्यं घृतं किम्?	गव्यम्		महातीक्ष्णम्	त्रिफला घृतम्	दृष्टिप्रदर्शनम्	अष्टगुणं
367	भावप्रकाशे मूत्रवर्गे कति प्रकारकाणां सूत्राणां वर्णनं कृतम्?	२	२ / ३ / ५ / ७	५	७	द्वि	७
368	भावप्रकाशे मूत्रवर्गे कस्य मूत्रस्य वर्णनं न कृतम्?	आविकमूत्रम्	गोमूत्रम् / मनुष्यमूत्रम् / उभयोः / आविकमूत्रम्	उभयोः	आविकमूत्रम्	आविकमूत्रम्	गोमूत्रम्
370	अधोलिखितेषु किं तैलं बृंहणं लेखनं च करोति?	तिलतैलम्	सर्षपतैलम् / तिलतैलम् / राजिकातैलम् / अतसीतैलम्	तिलतैलम्	सर्षपतैलम्	तिलतैलम्	सर्षपतैलम्
372	अधोलिखितेषु कः वास्तविकस्य तैलस्य गुणः अस्ति?	सर्वे	बल्यः / चक्षुष्यः / बस्तिकर्म / सर्वे	सर्वे	सर्वे	सर्वे	सर्वे
376	मधु अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	वरट्याः / भृंगवान्तस्य/ पुष्परसोद्भवस्य / सर्वेषाम्	पुष्परसोद्भवस्य	सर्वेषाम्	सर्वेषाम्	पुष्परसोद्भवस्य
387	हिमं कर्तुं द्रव्यस्य मात्रा कियती आवश्यकी?	६ पल	२ पल / ४ पल / ६ पल / ८ पल	२ पल	द्रव्यस्य हिमं कर्तुं ४ पल मात्रा आवश्यकी	६ पल	६ पल
388	मन्थे द्रव्यस्य मात्रा कियती सम्यक् अस्ति?	४ पल; ४ पलैः	२ पल / ४ पल / ६ पल / ८ पल	४ पल	४ पल	६ पल	२ पल
397	स्नेहपरिपाकस्य कति प्रकाराः भवन्ति?	३; त्रयः	२ / ३ / ४ / ६	३	३	१ ४	६
401	अरिष्टनिर्माणविधौ यदि द्रवपदार्थस्य मापनं न प्रोक्तं भवेत् तर्हि कियत् स्वीकर्तव्यम्?	1 द्रोणः	1 द्रोणः / 1 तुला / अर्ध तुला / 8 पलानि	1 तुला	अर्ध तुला	1 तुला	अरिष्टनिर्माणविधौ यदि द्रवपदार्थस्य मापनं न प्रोक्तं भवेत् तर्हि कियत् स्वीकर्तव्यम्? 1 द्रोणः
405	मारणार्हे रजते कति गुणाः भवेयुः?	९; नव	५ / ७ / ९ / १२	१२	७	दश गुर्वः	९
411	महती स्नेहमात्रा का?	१ दिनं रात्रौ च पचेते;  १दिनंरात्रौचपचेते	१ दिनं रात्रौ च पचेते / १ दिवसः पच्यते / अर्धदिने पच्यते / चतस्रः घण्टाः पच्यते	१ दिवसः पच्यते	चतस्रः घण्टाः पच्यते	अर्धदिने पच्यते	अर्धदिने पच्यते
412	स्नेहस्य का मात्रा या अग्निदीपिका वीर्यवर्धिका च?	कनिष्ठा	कनिष्ठा / मध्यमा / ज्येष्ठा / कोई न	मध्यमा	मध्यमा	ज्येष्ठा	कनिष्ठा
417	विरेचनाय उत्तमाः ऋतवः के?	वसन्तः शारदः च; वसन्तःशारदःच	शिशिरः वसन्तः च / वसन्तः शारदः च / हेमन्तः वर्षा च / हेमन्तः शिशिरः च	वसन्तः शारदः च	वसन्तः शारदः च	वसन्तः शारदः च	वसन्तः शारदः च
420	षड् वर्षपर्यन्तम् बस्तिनेत्रस्य मानं कियत् स्यात्	८ अङ्गुलाः	६ अङ्गुलाः / ८ अङ्गुलाः / १० अङ्गुलाः / १२ अङ्गुलाः	८ अङ्गुलाः	६ अङ्गुलाः	अष्ट अङ्गुलाः	षड् वर्षपर्यन्तम् बस्तिनेत्रस्य मानं १२ अङ्गुलाः स्यात्
422	रेचननस्यस्य कति भेदाः?	२	२ / ३ / ४ / ५	४	द्वौ	पञ्च	५
423	नस्यकर्मणि तीक्ष्णस्य औषधस्य मापः कः?	१ शाणः	१/२ शाणः / १ शाणः / १ १/२ शाणः / २ शाणः	१ शाणः	२ शाणः	१/२ शाणः	१/२ शाणः
424	स्नेहनस्यस्य कति भेदाः?	२; द्वौ	२ / ३ / ४ / नास्ति	४	चत्वारः	४	४
427	प्रतिमर्शनस्यस्य कालः कतिवारम्?	१४	१० / १२ / १४ / २०	२०	द्वादशवारम् (१२)	द्वादशवारम्	१४
428	धूम्रपानस्य प्रकाराः कति?	६; षट्	४ / ६ / ७ / ८	८	६	सप्त	८
431	गण्डूषस्य किति प्रकाराः?	४; चत्वारः	२ / ३ / ४ / ५	४	४	पञ्च	५
434	स्वेदस्य प्रकाराः कति?	४; चतुर्धा; चत्वारः	४ / १० / १३ / १४	१४	१३	१०	१४
435	मूर्द्धतैलस्य प्रकाराः कति?	४; चतुर्धा; चत्वारः	२ / ३ / ४ / ५	४	चत्वारः	पञ्च	५
436	लेपस्य प्रकाराः कति?	३; त्रयः	२ / ३ / ४ / न अस्ति	अस्ति	चत्वारः	४	४
437	भावप्रकाशेन नेत्रचिकित्सायाः कति प्रकाराः उक्ताः?	७; सप्त	३ / ५ / ७ / ९	७	नेत्रचिकित्सायाः भावप्रकाशेन ९ प्रकाराः उक्ताः	७	७
438	सिक्तक्षालनाय नेत्रधारयोः सम्यक् दूरत्वं कियत्?	४ अङ्गुलः; चतुरङ्गुलः	२ अङ्गुलः / ४ अङ्गुलः / ६ अङ्गुलः / ३ अङ्गुलः	२ अङ्गुलः	४ अङ्गुलः	दूरत्वं ६ अङ्गुलः	२ अङ्गुलः
440	अञ्जनस्य भेदाः कति?	३; त्रयः	२ / ३ / ४ / ५	३	४	४	५
442	भावप्रकाशस्य अनुसारं भेषजभक्षणसमयाः कति उक्ताः?	५; पञ्च	३ / ५ / ७ / ११	५	७	७	३
3	हरीतक्याः पर्यायः कः ? 	सर्वे	कायस्था / हेमवती / शिवा / सर्वे	शिवा	सर्वे	हेमवती	कायस्था
8	हरीतक्याः सेवनाय अयोग्याः के?	सर्वे	बलवर्जिताः / कृशः / विमुक्तरक्तः / सर्वे	विमुक्तरक्तः	सर्वे	सर्वे	विमुक्तरक्तः
21	निम्नलिखितेषु पर्यायेषु चतुरूषणस्य घटकः कः ? 	पिप्पलीमूल; पिप्पलीमूलः	चव्यः / चित्रकः / पिप्पलीमूलः / बिभीतकः	पिप्पलीमूलः	चित्रकः	चित्रकः	चव्यः
22	अधोलिखितेषु कः गजपिप्पल्याः पर्यायः अस्ति? 	सर्वे	कपिवल्ली / कोलवल्ली / श्रेयसी / सर्वे	कपिवल्ली	सर्वे	कपिवल्ली	कपिवल्ली
23	ऊषणः कस्य पर्यायः अस्ति? 	चित्रकस्य ; मरिचः	चित्रकस्य / मरिचः / शुण्ठ्याः	शुण्ठ्याः	मरिचः	चित्रकस्य	चित्रकस्य
24	निम्नेषु कः पञ्चकोलस्य घटकः नास्ति? 	मरिचः	शुण्ठी / मरिचः / पिप्पली / पिप्पलीमूलः	मरिचः	मरिचः	पिप्पलीमूलः	पिप्पलीमूलः
25	निम्नेषु कः द्रव्यः हरीतक्यादि वर्गे वर्णितः ? 	सर्वे	त्रिफला / त्रिकटुः / पञ्चकोलः / सर्वे	त्रिफला	सर्वे	त्रिफला	त्रिफला
26	अधोलिखितेषु यवान्याः पर्यायः कः?	सर्वे	उग्रगन्धा / ब्रह्मदर्भा / अजमोदिका / सर्वे 	सर्वे	सर्वे	सर्वे	अजमोदिका
28	निम्नेषु कः जीरकस्य भेदः न अस्ति? 	यवानी	शुक्लजीरकः / उद्गारशोधनः / कालाजाजी / यवानी	उद्गारशोधनः	उद्गारशोधनः	शुक्लजीरकः	शुक्लजीरकः
34	उग्रगन्धा इति कस्य पर्यायः अस्ति?	वचायाः ; पलाण्डोः	वचायाः / पलाण्डोः / यवान्याः	पलाण्डोः	पलाण्डोः	पलाण्डोः	वचायाः
35	निम्नेषु कः वचायाः पर्यायः ? 	सर्वे	षड्ग्रन्था / शतपर्विका / क्षुद्रपत्री / सर्वे	सर्वे	सर्वे	षड्ग्रन्था	षड्ग्रन्था
47	भावप्रकाशे कस्मिन् वर्गे रास्ना वर्णिता अस्ति? 	हरीतक्यादि; हरीतक्यादिवर्गे		क्षुद्रकादिवर्गे	हरितकादिवर्गे	आहारविभागे	अष्टाङ्गहृदये
78	रसोनं सेवमाने किं हितकरं भवति?	मांसम्	दुग्धम् / गुडः / मांसम् / व्यायामः	व्यायामः	दुग्धम्	गुडः	दुग्धम्
79	रसोनसेवनेन सह किम् अहितकरम्?	गुडः	मद्यम् / अम्लरसः / मांसम् / गुडः	मद्यम्	मद्यम्	मांसम्	अम्लरसः
80	रसोनतुल्यगुणः किः द्रव्यम्?	पलाण्डुः		लशुनम्	लशुनम्	लहसुनम्	मधु
89	खाखसतिलस्य उपयुक्ताङ्गं किम्?	खसफलम्		बीजम्	बीजम्	कफवातशामकं	त्रिकं
92	शाकम्भरीयः इति कस्य पर्यायः?	रोमक-लवणः		शरीरम्	देवी दुर्गायाः	दुर्गा	शाकम्भरीयः इति कस्य पर्यायः = शाल्मली
93	लवणोदधिसम्भवः इति कस्य पर्यायः?	सामुद्रलवणम्; सामुद्रलवणस्य		सैन्धवः	समुद्रजः	सामुद्रोदधिः	अम्ल
99	अधोलिखितेषु कः क्षाराष्टकस्य घटकः न अस्ति ?	टङ्कणः	यवक्षारः / अपामार्गक्षारः / टङ्कणः / पलाशक्षारः	टङ्कणः	पलाशक्षारः	टङ्कणः	यवक्षारः
100	निम्नेषु कः हरीतक्यादिवर्गे नास्ति? 	कर्पूरः	लवणः / क्षारः / कर्पूरः / रसोनः	कर्पूरः	कर्पूरः	कर्पूरः	क्षारः
