ID	QUESTION	ANSWER	CHOICES	context_0	gpt-4o
389	फाण्टार्थे द्रव्यस्य मात्रा का?	1 कुडवः	4 पलः / 8 पलः / 1 कुडवः / 1 प्रस्थः	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	1 कुडवः
390	कल्कस्य मात्रा का?	1 कर्षः	1 कर्षः / 1 पलः / 2 कर्षः / 3 पलः	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	द्वौ कर्षौ
391	फाण्टस्य सम्यक् मात्रा का?	2 पलः	1 पलः / 2 पलः / 4 पलः / 6 पलः	मत्स्याक्षी बाह्लिका मत्स्यगन्धा मत्स्यादनीति च     मत्स्याक्षी ग्राहिणी शीतकुष्ठपित्तकफास्रजित्     लघुस्तिक्ता कषाया च स्वाद्वी कटुविपाकिनी ४.२६८     सर्पाक्षी स्यात्तु गण्डाली तथा नाडीकलापकः ४.२६९     सर्पाक्षी कटुका तिक्ता सोष्णा कृमिनिकृन्तनी     वृश्चिकोन्दुरुसर्पाणां विषघ्नी व्रणरोपिणी ४.२७०     शङ्ख्नपुष्पी तु शङ्खाह्वा मङ्गल्यकुसुमाऽपि च     शङ्खपुष्पी सरा मेध्या वृष्या मानसरोगहृत् ४.२७१     रसायनी कषायोष्णा स्मृतिकान्तिबलाग्निदा     दोषापस्मारभूताश्रीकुष्ठक्रिमिविषप्रणुत् ४.२७२     अर्कपुष्पी क्रूरकर्मा पयस्या जलकामुका     अर्कपुष्पी कृमिश्लेष्ममेहपित्तविकारजित् ४.२७३     लज्जालुः स्वाच्छमीपत्रा समङ्गा जलकारिका     रक्तपादी नमस्कारी नाम्ना खदिरकेत्यपि ४.२७४     लज्जालुः शीतला तिक्ता कषाया कफपित्तजित्     रक्तपित्तमतीसारं योनिरोगान् विनाशयेत् ४.२७५     अलम्बुषा खरत्वक् च तथा मेदोगला स्मृता     अलम्बुषा लघुः स्वादुः क्रिमिपित्तकफापहा ४.२७६     दुग्धिका स्वादुपर्णी स्यात्क्षीरा विक्षीरिणी तथा     दुग्धिकोष्णा गुरू रूक्षा वातलागर्भकारिणी ४.२७७	द्वौ पलौ
392	मन्थस्य मात्रा का?	2 पलः	अर्ध पलः / 1 पलः / सार्धैक पलः / 2 पलः	केश्यस्त्वच्यः कृमिश्वासकासशोथामपाण्डुनुत्     दन्त्यो रसायनो बल्यः कुष्ठनेत्रशिरोऽत्तिनुत् ४.२४३     शणपुष्पी स्मृता घण्टा शणपुष्पसमाकृतिः     शणपुष्पी कटुस्तिक्ता वामिनी कफपित्तजित् ४.२४४     बलभद्रा त्रायमाणा त्रायन्ती गिरिजाऽनुजा     त्रायन्ती तुवरा तिक्ता सरा पित्तकफापहा     ज्वरहृद्रो गगुल्मार्शोभ्रमशूलविषप्रणुत् ४.२४५     मूर्वा मधुरसा देवी मोरटा तेजनी स्रुवा     मधुलिका मधुश्रेणी गोकर्णी पीलुपर्ण्यपि ४.२४६     मूर्वा सरा गुरुः स्वादुस्तिक्ता पित्तास्रमेहनुत्     त्रिदोषतृष्णाहृद्रो गकण्डूकुष्ठज्वरापहाः ४.२४७     काकमाची ध्वाङ्क्षमाची काकाह्वा चैव वायसी     काकमाची त्रिदोषघ्नी स्निग्धोष्णा स्वरशुक्रदा ४.२४८     तिक्ता रसायनी शोथकुष्टार्शोज्वरमेहजित्     कटुर्नेत्रहिता हिक्काच्छर्दिहृद्रो गनाशिनी ४.२४९     काकनासा तु काकाङ्गी काकतुण्डफला च सा ४.२५०     काकनासा कषायोष्णा कटुका रसपाकयोः     कफघ्नी वामनी तिक्ता शोथार्शश्वित्रकुष्ठहृत् ४.२५१     काकजङ्घा नदीकान्ता काकतिक्ता सुलोमशा     पारावतपदी दासी काका चापि प्रकीर्त्तिता ४.२५२	सार्धैक पलः
393	चूर्णस्य मात्रा का?	1 कर्षः	अर्ध कर्षः / 1 कर्षः / अर्ध पलः / 1 पलः	पञ्चकोलं समरिचं षडूषणमुदाहृतम्     पञ्चकोलगुणं तत्तु रूक्षमुष्णं विषापहम् २.७४     यवानिकोग्रगन्धा च ब्रह्मदर्भाऽजमोदिका २.७५     सैवोक्ता दीप्यका दीप्या तथा स्याद्यवसाह्वया     यवानी पाचनी रुच्या तीक्ष्णोष्णा कटुका लघुः २.७६     दीपनी च तथा तिक्ता पित्तला शुक्रशूलहृत्     वातश्लेष्मोदरानाहगुल्मप्लीहकृमिप्रणुत् २.७७     अजमोदा खराश्वा च मायूरो दीप्यकस्तथा     तथा ब्रह्मकुशा प्रोक्ता कारवी लोचमस्तका २.७८     अजमोदा कटुस्तीक्ष्णा दीपनी कफवातनुत्     उष्णा विदाहिनी हृद्या वृष्या बलकरी लघुः     नेत्रामय कृमिच्छर्दिहिक्कावस्तिरुजो हरेत् २.७९     पारसीकयवानी तु यवानीसदृशी गुणैः     विशेषात्पाचनी रुच्या ग्राहिणी मादिनी गुरुः २.८०     जीरको जरणोऽजाजी कणा स्याद्दीर्घजीरकः २.८१     कृष्णजीरः सुगन्धश्च तथैवोद्गारशोधनः     कालाजाजी तु सुषवी कालिका चोपकालिका २.८२     पृथ्वीका कारवी पृथ्वी पृथुकृष्णोपकुञ्चिका     उपकुञ्ची च कुञ्ची च बृहज्जीरक इत्यपि २.८३     जीरकत्रितयं रूक्षं कटूष्णं दीपनं लघु     संग्राही पित्तलं मेध्यं गर्भाशयविशुद्धिकृत् २.८४	अर्ध कर्षः
394	वातसम्बन्धिषु रोगेषु चूर्ण-अवलेह-वटी-कल्कैः सह अनुपानस्य मात्रा का?	2 पलः	1 पलः / 2 पलः / 3 पलः / 4 पलः	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	द्वौ पलौ
396	अवलेहेन सह उत्तमम् अनुपानं किम्?	सर्वे	दुग्धम् / इक्षुरसः / पञ्चमूलक्वाथः / सर्वे	आरग्बवधो राजवृक्षः शम्पाकश्चतुरङ्गुलः     आरेवतो व्याधिघातः कृतमालः सुवर्णकः २.१४८     कर्णिकारो दीर्घफलः स्वर्णाङ्गः स्वर्णभूषणः     आरग्वधोगुरुःस्वादुः शीतलः स्रंसनोत्तमः २.१४९     ज्वरहृद्रो गापित्तास्रवातोदावर्त्तशूलनुत्     तत्फलं स्रंसनं रुच्यं कुष्ठपित्तकफापहम्     ज्वरे तु सततं पथ्यं कोष्ठशुद्धिकरं परम् २.१५०     कट्वी तु कटुका तिक्ता कृष्णभेदा कटम्भरा     अशोका मत्स्यशकला चक्राङ्गी शकुलादनी     मत्स्यपित्ता काण्डरुहा रोहिणी कटुरोहिणी २.१५१     कट्वी तु कटुका पाके तिक्ता रूक्षा हिमा लघुः     भेदिनी दीपनी हृद्या कफपित्तज्वरापहा     प्रमेहश्वासकासास्रदाहकुष्ठकृमिप्रणुत् २.१५२     किराततिक्तः कैरातः कटुतिक्तः किरातकः २.१५३     काण्डतिक्तोऽनार्यतिक्तो भूनिम्बो रामसेनकः     किरातकोऽन्यो नैपालः सोऽद्धतिक्तो ज्वरान्तकः २.१५४     किरातः सारको रूक्षः शीतलस्तिक्तको लघुः     सन्निपातज्वरश्वासकफपित्तास्रदाहनुत्     कासशोथतृषाकुष्ठज्वरव्रणकृमिप्रणुत् २.१५५     उक्तं कुटजबीजं तु यवमिन्द्र यवं तथा     कलिङ्गं चापि कालिङ्गं तथा भद्र यवा अपि २.१५६	दुग्धम्
398	सीध्वाः प्रकाराः कति भवन्ति?	2	2 / 3 / 4 / न कश्चित्	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	न कश्चित्
399	वारुण्याः विषये कः नियमः उचितः ?	क-ख	ताḍरसमध्ये / खर्जूररसस्य मद्य / यवेन मद्य / क-ख	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	यवेन मद्य
400	चुक्रं किं कथ्यते?	सर्वे वाक्याः सत्याः	यः मद्यम् अम्लं भवेत् / अम्लं जातस्य मद्यस्य विकारेण यः संधानं कुर्यात् / गुडजलमं तैलं कन्दं शाकं च फलसंयुक्तं यः अम्लं भवेत् / सर्वे वाक्याः सत्याः	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	सर्वे वाक्याः सत्याः
402	गजपुटस्य प्रमाणं किम् अस्ति?	त्रिंशङ्गुलि	विंशत्यङ्गुलि / पञ्चविंशत्यङ्गुलि / त्रिंशङ्गुलि / किञ्चित् न	राजावर्त्तो नृपावर्त्तो राजन्यावर्त्तकस्तथा     आवर्त्तमणिसंज्ञश्च ह्यावर्त्तोऽपि तथैव च ८.१४३     राजावर्त्तं कटुस्तिक्तः शिशिरः पित्तनाशनः     राजावर्त्तः प्रमेहघ्नश्छर्दिहिक्कानिवारणः ८.१४४     चुम्बकः कान्तपाषाणोऽयस्कान्तो लौहकर्षकः     चुम्बको लेखनः शीतो मेदोविषगरापहः ८.१४५     गैरिकं रक्तधातुश्च गैरेयं गिरिजं तथा     सुवर्णगैरिकं त्वन्यत्ततो रक्ततरं हि तत् ८.१४६     गैरिकद्वितयं स्निग्धं मधुरं तुवरं हिमम्     चक्षुष्यं दाहपित्तास्रकफहिक्काविषापहम् ८.१४७     खटिका कठिनी चापि लेखनी च निगद्यते     खटी दाहास्रजिच्छीता मधुरा विषशोथजित् ८.१४८     लेपादेतद्गुणा प्रोक्ता भक्षिता मृत्तिकासमा     खटी गौरखटी द्वे च गुणैस्तुल्ये प्रकीर्त्तिते ८.१४९     बालुका सिकता प्रोक्ता शर्करा रेतजाऽपि च     वालुका लेखनी शीता व्रणोरःक्षतनाशिनी ८.१५०     खर्परी तुत्थकं तुत्थादन्यत्तद्र सकं स्मृतम्     ये गुणास्तुत्थके प्रोक्तास्ते गुणा रसके स्मृता ८.१५१     काशीशं धातुकाशीशं पांशुकाशीशमित्यपि     तदेव किञ्चित्पीतं तु पुष्पकाशीशमुच्यते ८.१५२	त्रिंशङ्गुलि
403	वराहपुटस्य प्रमाणं किम् ?	अरत्निमात्रा	त्रिंशङ्गुलि / अरत्निमात्रा / बालिशतम् / किञ्चित् न	माषपिष्टिकया लिप्तं नागवल्लीदलं महत् १२.६६     तत्तु संस्वेदयेद्युक्त्या स्थाल्यामास्तारकोपरि     ततो निष्कास्य तं खण्ड्यं ततस्तैलेन भर्जयेत् १२.६७     अलीकमत्स्य उक्तोऽय प्रकारः पाक पण्डितैः     तं वृन्ताक भटित्रेण वास्तूकेन च भक्षयेत् १२.६८     स्थाल्यां घृते वा तैले वा हरिद्रा ं! हिङ्गु भर्जयेत्     अवलेहनसंयुक्तं तक्रं तत्रैव निक्षिपेत्     एषा सिद्धा समरिचा क्वथिता कथिता बुधैः १२.६९     क्वथिता पाचनी रुच्या लघ्वी वह्निप्रदीपनी     कफानिलाविबन्धघ्नी किञ्चित्पित्तप्रकोपणी १२.७०     अलीकमत्स्याः शुष्का वा किं वा क्वथितया पुनः     बृंहणा रोचना वृष्या बल्या वातगदापहः १२.७१     कोष्ठशुद्धिकराः शुष्काः किञ्चित्पित्तप्रकोपणाः     अर्दिते सहनुस्तम्भे विशेषेण हिताः स्मृताः १२.७२     मुद्गपिष्टीविरचितान् वटकांस्तैलपाचितान्     हस्तेन चूर्णयेत्सम्यक् तस्मिंश्चूर्णं विनिक्षिपेत् १२.७३     भृष्टं हिङ्ग्वार्द्र कं सूक्ष्मं मरिचं जीरकं तथा     निम्बूरसं यवानीं च युक्त्या सर्वं विमिश्रयेत् १२.७४	अरत्निमात्रा
404	कुक्कुटपुटस्य प्रमाणं किम् ?	एकबालिशतम्	एकबालिशतम् / एकारत्निः / सप्तदशाङ्गुलि / त्रिंशङ्गुलि	राजावर्त्तो नृपावर्त्तो राजन्यावर्त्तकस्तथा     आवर्त्तमणिसंज्ञश्च ह्यावर्त्तोऽपि तथैव च ८.१४३     राजावर्त्तं कटुस्तिक्तः शिशिरः पित्तनाशनः     राजावर्त्तः प्रमेहघ्नश्छर्दिहिक्कानिवारणः ८.१४४     चुम्बकः कान्तपाषाणोऽयस्कान्तो लौहकर्षकः     चुम्बको लेखनः शीतो मेदोविषगरापहः ८.१४५     गैरिकं रक्तधातुश्च गैरेयं गिरिजं तथा     सुवर्णगैरिकं त्वन्यत्ततो रक्ततरं हि तत् ८.१४६     गैरिकद्वितयं स्निग्धं मधुरं तुवरं हिमम्     चक्षुष्यं दाहपित्तास्रकफहिक्काविषापहम् ८.१४७     खटिका कठिनी चापि लेखनी च निगद्यते     खटी दाहास्रजिच्छीता मधुरा विषशोथजित् ८.१४८     लेपादेतद्गुणा प्रोक्ता भक्षिता मृत्तिकासमा     खटी गौरखटी द्वे च गुणैस्तुल्ये प्रकीर्त्तिते ८.१४९     बालुका सिकता प्रोक्ता शर्करा रेतजाऽपि च     वालुका लेखनी शीता व्रणोरःक्षतनाशिनी ८.१५०     खर्परी तुत्थकं तुत्थादन्यत्तद्र सकं स्मृतम्     ये गुणास्तुत्थके प्रोक्तास्ते गुणा रसके स्मृता ८.१५१     काशीशं धातुकाशीशं पांशुकाशीशमित्यपि     तदेव किञ्चित्पीतं तु पुष्पकाशीशमुच्यते ८.१५२	सप्तदशाङ्गुलि
406	ताम्रस्य दोषाः कति?	अष्टौ	द्वे / चत्वारि / षट् / अष्टौ	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	षट्
407	वङ्गस्य भेदाः कति?	द्वे	षट् / पञ्च / चत्वारि / द्वे	अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	षट्
408	दीप्ताग्निपुरुषस्य स्नेहपानप्रमाणं  किं भवति?	एकः पलः	एकः पलः / त्रयः कर्षाः / द्वौ कर्षौ / एकः तोलः	अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	त्रयः कर्षाः
